               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.023903,           0.0018759,                   0,             0.83582,             0.53748,             0.59801,             0.30489,            0.050253,            0.014038,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023733,           0.0018863,                   0,               0.952,             0.77645,             0.83434,             0.42396,            0.042908,           0.0090385,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023855,           0.0018454,                   0,             0.90843,             0.72866,              0.7895,             0.38658,             0.04485,            0.010332,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023756,           0.0018329,                   0,             0.90156,             0.73201,             0.78957,             0.39347,            0.044133,           0.0097802,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.023218,           0.0018172,                   0,             0.91784,             0.75616,             0.81132,             0.40962,            0.043753,           0.0099076,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023251,           0.0018614,                   0,             0.85412,             0.70599,             0.77644,             0.39641,            0.044254,            0.010482,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022624,           0.0018036,                   0,             0.94218,             0.76036,               0.825,             0.42286,            0.043654,           0.0099371,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02329,           0.0017847,                   0,             0.84754,             0.64967,             0.73347,             0.36699,            0.044929,            0.011085,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.023005,           0.0017785,                   0,             0.92478,              0.7608,             0.82649,             0.40878,            0.043648,           0.0095933,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023309,           0.0018571,                   0,             0.94095,             0.75633,             0.81848,             0.39155,            0.045031,           0.0098087,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022459,           0.0018099,                   0,             0.90718,             0.69126,             0.77292,              0.3864,            0.044514,            0.010733,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.022765,           0.0018557,                   0,             0.92001,             0.73637,             0.80932,             0.40419,            0.044813,             0.01076,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022859,           0.0018181,                   0,             0.83746,             0.71105,             0.75039,             0.32545,            0.047344,            0.010266,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.022393,            0.001739,                   0,             0.92572,             0.75214,             0.81301,             0.39648,            0.045512,            0.010376,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.022176,           0.0017666,                   0,             0.91036,             0.67955,              0.7543,             0.38879,            0.045754,            0.011951,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022203,           0.0017512,                   0,             0.86211,             0.67941,             0.75039,             0.33132,            0.050241,           0.0098808,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.02203,           0.0017937,                   0,             0.95335,             0.76488,             0.83617,             0.41228,            0.043861,           0.0098553,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021758,           0.0017698,                   0,             0.85718,             0.70669,             0.76869,             0.35856,            0.048328,            0.010155,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022569,           0.0017709,                   0,             0.88182,             0.61647,             0.73667,             0.36695,            0.046092,            0.011322,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021663,            0.001735,                   0,             0.89185,             0.75046,             0.80676,             0.39192,            0.045104,           0.0094771,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021441,           0.0017176,                   0,             0.90476,             0.74073,             0.80562,             0.36648,            0.047666,            0.010091,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021168,           0.0016997,                   0,             0.89193,             0.70034,              0.7842,             0.38462,            0.045462,            0.010846,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021423,           0.0017363,                   0,             0.82494,             0.71442,             0.75381,             0.36937,            0.044878,            0.010727,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020923,            0.001679,                   0,             0.90885,             0.71373,             0.79594,             0.39957,            0.046533,            0.011416,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.020663,           0.0016989,                   0,             0.88925,             0.66628,             0.75974,             0.33624,            0.049724,            0.010453,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020746,            0.001705,                   0,             0.92772,             0.74906,             0.81638,             0.38877,            0.045414,           0.0098034,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020577,           0.0016781,                   0,             0.83821,             0.61597,             0.71074,             0.35641,            0.046011,            0.012709,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020451,           0.0017043,                   0,             0.94914,             0.75419,             0.81823,             0.39889,            0.044847,           0.0099258,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020685,           0.0016844,                   0,             0.94867,             0.74727,             0.81408,             0.39211,            0.045483,            0.010042,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020193,           0.0016428,                   0,             0.89595,             0.68737,             0.76563,             0.35519,            0.048102,            0.011207,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020829,           0.0017077,                   0,              0.9068,             0.74082,             0.80014,             0.38536,            0.045341,           0.0098747,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020346,            0.001727,                   0,             0.89822,             0.69428,             0.77695,             0.37893,            0.048128,            0.010975,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020473,           0.0016266,                   0,             0.94692,              0.7456,             0.81072,             0.36843,            0.048092,            0.010376,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020693,           0.0017223,                   0,             0.93525,             0.74208,             0.81821,             0.39548,            0.045271,            0.010354,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020273,           0.0016229,                   0,             0.92633,              0.7191,             0.80261,              0.3949,            0.045021,            0.010225,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0196,           0.0016171,                   0,             0.88797,             0.72011,             0.79239,              0.3685,            0.047399,            0.010206,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019564,           0.0016176,                   0,             0.83843,              0.7084,             0.76533,             0.36171,            0.047599,              0.0111,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019781,           0.0016394,                   0,             0.91674,             0.72751,             0.79636,             0.38269,            0.046039,            0.010411,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019743,           0.0016354,                   0,             0.91838,             0.74534,             0.81334,             0.39679,            0.045023,            0.010753,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019183,           0.0016069,                   0,             0.87118,             0.69294,             0.77209,             0.35267,            0.048473,            0.010844,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019243,           0.0016464,                   0,             0.90755,             0.73263,             0.80617,             0.38862,             0.04701,            0.010733,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01889,           0.0015478,                   0,             0.85895,             0.71485,             0.77275,             0.36091,            0.047538,            0.010865,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019367,           0.0015629,                   0,             0.89751,              0.6682,             0.75271,             0.37835,            0.048412,            0.012815,                   0,            0.002179,            0.002179,            0.002179
