               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072522,           0.0067322,                   0,             0.82499,              0.6443,             0.70022,             0.19708,            0.047356,             0.01058,                   0,            0.070016,           0.0033316,           0.0033316
                   1,            0.049315,           0.0036765,                   0,              0.8881,             0.69343,             0.79553,             0.36789,            0.041799,           0.0073067,                   0,            0.040015,           0.0066643,           0.0066643
                   2,            0.046618,           0.0031233,                   0,             0.94574,             0.68403,             0.75066,             0.37828,            0.045348,           0.0073934,                   0,            0.010012,           0.0099943,           0.0099943
                   3,            0.043352,           0.0028287,                   0,             0.95131,             0.83217,             0.88867,             0.38931,            0.037472,           0.0054689,                   0,           0.0099911,           0.0099911,           0.0099911
                   4,            0.040653,           0.0026014,                   0,             0.97204,             0.82559,             0.88542,             0.40884,            0.038016,           0.0056945,                   0,           0.0099911,           0.0099911,           0.0099911
                   5,            0.039048,           0.0025168,                   0,             0.96335,             0.88152,             0.92741,              0.4757,            0.032388,           0.0050993,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,            0.038315,           0.0024436,                   0,             0.95003,             0.86567,             0.91915,               0.463,            0.034048,           0.0048871,                   0,           0.0099753,           0.0099753,           0.0099753
                   7,            0.037367,           0.0023323,                   0,             0.97419,             0.87982,             0.92306,             0.45263,            0.034057,           0.0047084,                   0,           0.0099645,           0.0099645,           0.0099645
                   8,            0.037132,           0.0023862,                   0,             0.95745,             0.89438,             0.94014,             0.45629,            0.032407,           0.0045893,                   0,           0.0099517,           0.0099517,           0.0099517
                   9,            0.036853,           0.0023307,                   0,             0.96367,             0.88429,             0.93028,             0.44554,            0.033128,           0.0046667,                   0,            0.009937,            0.009937,            0.009937
                  10,            0.036369,           0.0022763,                   0,             0.95375,             0.89566,             0.93725,             0.45101,            0.032534,            0.004572,                   0,           0.0099203,           0.0099203,           0.0099203
                  11,            0.035916,           0.0022342,                   0,             0.96304,             0.90444,             0.94075,              0.4423,            0.032489,           0.0044285,                   0,           0.0099017,           0.0099017,           0.0099017
                  12,            0.035919,           0.0021717,                   0,             0.96976,             0.89269,             0.93989,             0.44719,            0.032747,           0.0044602,                   0,           0.0098811,           0.0098811,           0.0098811
                  13,            0.035706,           0.0021872,                   0,             0.95246,             0.89854,             0.93725,             0.44068,            0.032556,           0.0044462,                   0,           0.0098586,           0.0098586,           0.0098586
                  14,            0.035362,           0.0022002,                   0,             0.95391,              0.8989,             0.93936,             0.43049,            0.033016,           0.0044061,                   0,           0.0098342,           0.0098342,           0.0098342
                  15,             0.03528,           0.0021684,                   0,             0.95491,             0.89854,             0.94179,             0.43941,            0.032383,            0.004384,                   0,           0.0098079,           0.0098079,           0.0098079
                  16,            0.035021,           0.0021755,                   0,             0.95645,             0.89857,             0.94181,             0.44212,            0.032397,           0.0043754,                   0,           0.0097798,           0.0097798,           0.0097798
                  17,             0.03486,           0.0021645,                   0,             0.95806,             0.90031,             0.94206,             0.44324,            0.032469,           0.0043681,                   0,           0.0097497,           0.0097497,           0.0097497
                  18,            0.034705,           0.0020881,                   0,             0.95452,              0.9034,             0.94137,             0.44275,            0.032481,           0.0043738,                   0,           0.0097178,           0.0097178,           0.0097178
                  19,            0.034558,           0.0020823,                   0,              0.9658,             0.89987,             0.94284,             0.44365,            0.032376,           0.0043435,                   0,            0.009684,            0.009684,            0.009684
                  20,            0.034649,            0.002119,                   0,             0.96896,             0.90223,             0.94304,             0.44743,            0.032234,           0.0043171,                   0,           0.0096484,           0.0096484,           0.0096484
                  21,              0.0346,           0.0021572,                   0,             0.96551,             0.90424,             0.94342,             0.44859,             0.03223,           0.0043037,                   0,            0.009611,            0.009611,            0.009611
                  22,            0.034195,           0.0020904,                   0,             0.96011,             0.90815,             0.94374,             0.45289,            0.032126,           0.0042945,                   0,           0.0095717,           0.0095717,           0.0095717
